No.,FAM,ROD,DRUH,LOKALITA,STATE/PROV,ZEME,CMP,DEN_POC,MES_POC,ROK_POC,DEN_KON,MES_KON,ROK_KON,POCET_M,POCET_F,POCET_TOT,BIOTOP,METRU_OD,METRU_DO,METODA_SB,LEG,COLL,DET,ROK,REV,ROK,ZDROJ,POZN.,N/S,E/W
23027,Silphidae,Thanatophilus,sinuatus,Stráž nad Ohří-Osvinov,Bohemia,Czech Republic,5644,17,5,2014,31,5,2014,4,2,6,meadow,550,650,baited trap - dead mouse,"Kadlec, Máslo, Mikátová",,P. Máslo,2015,,,PC,,50.3547°N,13.0311°E
23034,Silphidae,Thanatophilus,sinuatus,Stráž nad Ohří-Osvinov,Bohemia,Czech Republic,5644,23,9,2014,7,10,2014,5,2,7,meadow,550,650,baited trap - dead rat (100 g),"Kadlec, Máslo, Mikátová",,P. Máslo,2015,,,PC,,50.3547°N,13.0311°E
23035,Silphidae,Thanatophilus,sinuatus,Stráž nad Ohří-Osvinov,Bohemia,Czech Republic,5644,23,9,2014,7,10,2014,3,4,7,meadow,550,650,baited trap - dead rat (500 g),"Kadlec, Máslo, Mikátová",,P. Máslo,2015,,,PC,,50.3547°N,13.0311°E
23031,Silphidae,Thanatophilus,sinuatus,Stráž nad Ohří-Osvinov,Bohemia,Czech Republic,5644,9,8,2014,23,8,2014,24,15,39,meadow,550,650,baited trap - dead rat (100 g),"Kadlec, Máslo, Mikátová",,P. Máslo,2015,,,PC,,50.3547°N,13.0311°E
23030,Silphidae,Thanatophilus,sinuatus,Stráž nad Ohří-Osvinov,Bohemia,Czech Republic,5644,9,8,2014,23,8,2014,23,25,48,meadow,550,650,baited trap - dead mouse,"Kadlec, Máslo, Mikátová",,P. Máslo,2015,,,PC,,50.3547°N,13.0311°E
23028,Silphidae,Thanatophilus,sinuatus,Stráž nad Ohří-Osvinov,Bohemia,Czech Republic,5644,17,5,2014,31,5,2014,27,30,57,meadow,550,650,baited trap - dead rat (100 g),"Kadlec, Máslo, Mikátová",,P. Máslo,2015,,,PC,,50.3547°N,13.0311°E
23032,Silphidae,Thanatophilus,sinuatus,Stráž nad Ohří-Osvinov,Bohemia,Czech Republic,5644,9,8,2014,23,8,2014,55,45,100,meadow,550,650,baited trap - dead rat (500 g),"Kadlec, Máslo, Mikátová",,P. Máslo,2015,,,PC,,50.3547°N,13.0311°E
23029,Silphidae,Thanatophilus,sinuatus,Stráž nad Ohří-Osvinov,Bohemia,Czech Republic,5644,17,5,2014,31,5,2014,138,148,286,meadow,550,650,baited trap - dead rat (500 g),"Kadlec, Máslo, Mikátová",,P. Máslo,2015,,,PC,,50.3547°N,13.0311°E
7703,Silphidae,Thanatophilus,sinuatus,Pacov,Bohemia,Czech Republic,,20,6,1905,,,,1 spec.,,1,,,,,Roubal,"coll. J. Roubal in Slovenské národné múzeum, Bratislava",J. Růžička,1992,,,Sil1,,,
7720,Silphidae,Thanatophilus,sinuatus,Závišť,Bohemia,Czech Republic,,29,7,1906,,,,1 spec.,,1,,,,,Roubal,"coll. J. Roubal in Slovenské národné múzeum, Bratislava",J. Růžička,1992,,,Sil1,,,
7058,Silphidae,Thanatophilus,sinuatus,Stolany,Bohemia,Czech Republic,,6,5,1912,,,,1,,1,,,,,-,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
7053,Silphidae,Thanatophilus,sinuatus,Chuchle,Bohemia,Czech Republic,,30,4,1914,,,,1,,1,,,,,-,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
7059,Silphidae,Thanatophilus,sinuatus,"Plzeň env., Darová",Bohemia,Czech Republic,,15,7,1916,,,,,1,1,,,,,A. Růžička,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
7055,Silphidae,Thanatophilus,sinuatus,"Domažlice env., Dobrá Voda",Bohemia,Czech Republic,,19,5,1917,,,,,1,1,,,,,Růžička,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
7064,Silphidae,Thanatophilus,sinuatus,"Domažlice env., Dobrá Voda",Bohemia,Czech Republic,,19,5,1917,,,,1,,1,,,,,Růžička,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,teneral,,
7065,Silphidae,Thanatophilus,sinuatus,Domažlice,Bohemia,Czech Republic,,3,7,1917,,,,,1,1,,,,,Růžička,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
9096,Silphidae,Thanatophilus,sinuatus,Šumava Mts.-Lipka,Bohemia,Czech Republic,,20,7,1927,,,,3,3,6,cadaver,,,,J. Havlíček,coll. J. Havlíček in Jihočeské muzeum v Českých Budějovicích,J. Růžička,1995,,,Sil1,,,
7717,Silphidae,Thanatophilus,sinuatus,Pacov,Bohemia,Czech Republic,,19,7,1928,,,,1 spec.,,1,,,,,Roubal,"coll. J. Roubal in Slovenské národné múzeum, Bratislava",J. Růžička,1992,,,Sil1,,,
7706,Silphidae,Thanatophilus,sinuatus,Hradec Králové-Zděná bouda,Bohemia,Czech Republic,,13,5,1937,,,,2 spec.,,2,,,,,Roubal,"coll. J. Roubal in Slovenské národné múzeum, Bratislava",J. Růžička,1992,,,Sil1,,,
7718,Silphidae,Thanatophilus,sinuatus,Hradec Králové-Zděná bouda,Bohemia,Czech Republic,,15,5,1937,,,,1 spec.,,1,Calluna,,,,Roubal,"coll. J. Roubal in Slovenské národné múzeum, Bratislava",J. Růžička,1992,,,Sil1,,,
7982,Silphidae,Thanatophilus,sinuatus,Brno-Černovice,Moravia,Czech Republic,,21,6,1941,,,,1,,1,,,,,P. Lauterer,coll. P. Lauterer in Moravské zemské muzeum Brno,J. Růžička,1993,,,Sil1,,,
7073,Silphidae,Thanatophilus,sinuatus,Náměšť,Moravia,Czech Republic,,30,5,1942,,,,,1,1,,,,,Obrtel,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
8207,Silphidae,Thanatophilus,sinuatus,Říčany,Bohemia,Czech Republic,,7,5,1944,,,,1,,1,,,,,A. Olexa,A. Olexa,J. Růžička,1993,,,Sil1,,,
11227,Silphidae,Thanatophilus,sinuatus,Říčany,Bohemia,Czech Republic,,7,5,1944,,,,1,,1,,,,,-,M. Trýzna,J. Schneider,2002,,,Sil5,,,
13501,Silphidae,Thanatophilus,sinuatus,Říčany,Bohemia,Czech Republic,,4,5,1944,,,,1,,1,,,,,-,M. Trýzna,J. Růžička,2005,,,Sil8,,,
8208,Silphidae,Thanatophilus,sinuatus,Praha 7,Bohemia,Czech Republic,,22,5,1945,,,,,1,1,,,,,A. Olexa,A. Olexa,J. Růžička,1993,,,Sil1,,,
8210,Silphidae,Thanatophilus,sinuatus,Radešovice,Bohemia,Czech Republic,,17,5,1945,,,,1,,1,,,,,A. Olexa,A. Olexa,J. Růžička,1993,,,Sil1,,,
7052,Silphidae,Thanatophilus,sinuatus,"Brünn [Brno] env., Schöllschitz [Želešice]",Moravia,Czech Republic,,24,9,1947,,,,1,,1,,,,,H.R. Henning,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
7980,Silphidae,Thanatophilus,sinuatus,Brno,Moravia,Czech Republic,,15,5,1947,,,,1,,1,,,,,P. Lauterer,coll. P. Lauterer in Moravské zemské muzeum Brno,J. Růžička,1993,,,Sil1,,,
11200,Silphidae,Thanatophilus,sinuatus,Brno,Moravia,Czech Republic,,25,5,1947,,,,1,,1,,,,,P. Lauterer,coll. P. Lauterer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
11202,Silphidae,Thanatophilus,sinuatus,Brno,Moravia,Czech Republic,,15,5,1947,,,,1,,1,,,,,P. Lauterer,coll. P. Lauterer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,JR det. 1993,,
11207,Silphidae,Thanatophilus,sinuatus,Brno,Moravia,Czech Republic,,15,4,1947,,,,,1,1,,,,,P. Lauterer,coll. P. Lauterer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
7721,Silphidae,Thanatophilus,sinuatus,Plaveč,Moravia,Czech Republic,,7,6,1948,,,,3 spec.,,3,,,,,Roubal,"coll. J. Roubal in Slovenské národné múzeum, Bratislava",J. Růžička,1992,,,Sil1,,,
9090,Silphidae,Thanatophilus,sinuatus,Veselí nad Lužnicí,Bohemia,Czech Republic,,1,11,1948,,,,,1,1,,,,,V. Karas,J. Čech,J. Růžička,1995,,,Sil1,,,
11208,Silphidae,Thanatophilus,sinuatus,Brno-Černovice,Moravia,Czech Republic,6865,24,3,1949,,,,,1,1,,,,,P. Lauterer,coll. P. Lauterer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
11209,Silphidae,Thanatophilus,sinuatus,Brno-Černovice,Moravia,Czech Republic,6865,25,4,1949,,,,,1,1,,,,,P. Lauterer,coll. P. Lauterer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
11204,Silphidae,Thanatophilus,sinuatus,Brno-Černovice,Moravia,Czech Republic,6865,21,3,1949,,,,2,,2,,,,,P. Lauterer,coll. P. Lauterer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
7981,Silphidae,Thanatophilus,sinuatus,Pouzdřany,Moravia,Czech Republic,,21,5,1950,,,,1,,1,,,,,P. Lauterer,coll. P. Lauterer in Moravské zemské muzeum Brno,J. Růžička,1993,,,Sil1,,,
11203,Silphidae,Thanatophilus,sinuatus,Pouzdřany,Moravia,Czech Republic,7065,21,5,1950,,,,1,,1,,,,,P. Lauterer,coll. P. Lauterer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
11206,Silphidae,Thanatophilus,sinuatus,Pouzdřany,Moravia,Czech Republic,7065,4,6,1952,,,,,1,1,,,,,-,coll. F. Netopil in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
7047,Silphidae,Thanatophilus,sinuatus,Nový Hradec Králové env.,Bohemia,Czech Republic,,20,5,1953,,,,1,,1,,,,,L. Krejčiřík,Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
7049,Silphidae,Thanatophilus,sinuatus,Nový Hradec Králové env.,Bohemia,Czech Republic,,14,4,1953,,,,1,,1,,,,,L. Krejčiřík,Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
11211,Silphidae,Thanatophilus,sinuatus,Nesovice,Moravia,Czech Republic,,7,5,1953,,,,,1,1,,,,,F. Netopil,coll. F. Netopil in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
9094,Silphidae,Thanatophilus,sinuatus,Zlukov,Bohemia,Czech Republic,,10,5,1954,,,,,1,1,,,,,J. Čech,J. Čech,J. Růžička,1995,,,Sil1,,,
9123,Silphidae,Thanatophilus,sinuatus,Janské Lázně,Bohemia,Czech Republic,,8,8,1954,,,,,1,1,,,,,P. Laštovka,Ostravské muzeum,J. Růžička,1996,,,Sil1,,,
7048,Silphidae,Thanatophilus,sinuatus,Žacléř,Bohemia,Czech Republic,,28,6,1955,,,,1,,1,,,,,J. Winter,Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
9097,Silphidae,Thanatophilus,sinuatus,Vodňany,Bohemia,Czech Republic,,30,4,1955,,,,2,3,5,,,,,A. Keil,coll. A. Keil in Jihočeské muzeum v Českých Budějovicích,J. Růžička,1995,,,Sil1,,,
7041,Silphidae,Thanatophilus,sinuatus,"Slatiňany env., Lukavice",Bohemia,Czech Republic,,15,6,1956,,,,,1,1,,,,,J. Musil,Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
9095,Silphidae,Thanatophilus,sinuatus,Veselí nad Lužnicí,Bohemia,Czech Republic,,9,5,1956,,,,1,,1,,,,,J. Čech,J. Čech,J. Růžička,1995,,,Sil1,,,
7072,Silphidae,Thanatophilus,sinuatus,Brno-Jiráskova,Moravia,Czech Republic,,16,11,1958,,,,,1,1,indoors,,,,J. Volák,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
7046,Silphidae,Thanatophilus,sinuatus,Nehvizdy,Bohemia,Czech Republic,5854,20,4,1959,,,,1,,1,,,,,Janda,Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
7079,Silphidae,Thanatophilus,sinuatus,Mladá,Bohemia,Czech Republic,,12,7,1959,,,,1,,1,,,,,-,Vlastivědné muzeum v České Lípě,J. Růžička,1992,,,Sil1,,,
7080,Silphidae,Thanatophilus,sinuatus,Milovice,Bohemia,Czech Republic,5755,10,9,1959,,,,1,,1,,,,,-,Vlastivědné muzeum v České Lípě,J. Růžička,1992,,,Sil1,,,
7071,Silphidae,Thanatophilus,sinuatus,Bítov nad Dyjí,Moravia,Czech Republic,,28,5,1960,,,,,1,1,,,,,J. Volák,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
7060,Silphidae,Thanatophilus,sinuatus,Lednice,Moravia,Czech Republic,,9,5,1961,,,,1,,1,pond,,,,J. Volák,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
7045,Silphidae,Thanatophilus,sinuatus,Praha-Troja,Bohemia,Czech Republic,5852,24,5,1961,,,,3,1,4,,,,,Z. Likovský,Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
8200,Silphidae,Thanatophilus,sinuatus,Krušné hory Mts.-Telnice,Bohemia,Czech Republic,,8,6,1961,,,,3,6,9,,,,,J. Novotný,Vlastivědné muzeum v České Lípě,J. Růžička,1992,,,Sil1,,,
7736,Silphidae,Thanatophilus,sinuatus,Beskydy Mts.-Lučina,Moravia,Czech Republic,,21,6,1962,,,,1,,1,,,,,P. Nohel,"Slovenské národné múzeum, Bratislava",J. Růžička,1993,,,Sil1,,,
7078,Silphidae,Thanatophilus,sinuatus,Zahrádky,Bohemia,Czech Republic,,17,9,1965,,,,1,,1,,,,,M. Honců,Vlastivědné muzeum v České Lípě,J. Růžička,1992,,,Sil1,,,
8217,Silphidae,Thanatophilus,sinuatus,Ostrava,Moravia,Czech Republic,,21,5,1965,,,,,1,1,,,,,T. Sitek,T. Sitek,J. Růžička,1994,,,Sil1,,,
8218,Silphidae,Thanatophilus,sinuatus,Beskydy Mts.-Pržno,Moravia,Czech Republic,,1,5,1965,,,,1,,1,,,,,T. Sitek,T. Sitek,J. Růžička,1994,,,Sil1,,,
15725,Silphidae,Thanatophilus,sinuatus,Žimrovice,Moravia,Czech Republic,6173,2,5,1965,,,,3,,3,,,,,F. Kobylák,Jihomoravské muzeum ve Znojmě,J. Růžička,2007,,,Sil9,,,
11217,Silphidae,Thanatophilus,sinuatus,Zlín,Moravia,Czech Republic,,18,6,1965,,,,1,3,4,,,,,K. Majer,coll. K. Majer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
9072,Silphidae,Thanatophilus,sinuatus,Beskydy Mts.-Pržno,Moravia,Czech Republic,,16,5,1966,,,,1,1,2,,,,,T. Sitek,T. Sitek,J. Růžička,1994,,,Sil1,,,
7062,Silphidae,Thanatophilus,sinuatus,"Brno env.,",Moravia,Czech Republic,,14,5,1967,,,,1,,1,,,,,J. Volák,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
8016,Silphidae,Thanatophilus,sinuatus,Veselí nad Lužnicí,Bohemia,Czech Republic,,31,8,1967,,,,1,1,2,,,,,V. Karas,Karas,J. Růžička,1993,,,Sil1,,,
7054,Silphidae,Thanatophilus,sinuatus,"Broumov env., Martínkovice",Bohemia,Czech Republic,,16,8,1968,,,,,1,1,,,,,J. Volák,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
8015,Silphidae,Thanatophilus,sinuatus,Veselí nad Lužnicí,Bohemia,Czech Republic,,17,8,1968,,,,2,,2,,,,,V. Karas,Karas,J. Růžička,1993,,,Sil1,,,
11216,Silphidae,Thanatophilus,sinuatus,Tisá,Bohemia,Czech Republic,,9,5,1968,,,,1,1,2,,,,,V. Vysoký,Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
8022,Silphidae,Thanatophilus,sinuatus,Žloukovice,Bohemia,Czech Republic,5949,12,7,1969,,,,1,,1,,,,,P. Moravec,P. Moravec,J. Růžička,1995,,,Sil1,,,
9107,Silphidae,Thanatophilus,sinuatus,Hradec Králové-Malšovice,Bohemia,Czech Republic,,20,10,1969,,,,1,,1,,,,,J. Prouza,J. Prouza,J. Růžička,1995,,,Sil1,,,
9088,Silphidae,Thanatophilus,sinuatus,Benešov,Bohemia,Czech Republic,,23,6,1970,,,,,1,1,,,,,J. Čech,J. Čech,J. Růžička,1995,,,Sil1,,,
8020,Silphidae,Thanatophilus,sinuatus,Dolní Bezděkov,Bohemia,Czech Republic,,23,4,1971,,,,1,,1,,,,,Mařík,Z. Kačenka,J. Růžička,1994,,,Sil1,Rous det. 1978,,
8023,Silphidae,Thanatophilus,sinuatus,Litoměřice,Bohemia,Czech Republic,,20,4,1971,,,,1,,1,,,,,P. Moravec,P. Moravec,J. Růžička,1995,,,Sil1,,,
8197,Silphidae,Thanatophilus,sinuatus,"Česká Lípa env., Hamr na Jezeře env., Děvínská louka",Bohemia,Czech Republic,,19,9,1971,,,,1,,1,,,,,M. Honců,Vlastivědné muzeum v České Lípě,J. Růžička,1992,,,Sil1,,,
9091,Silphidae,Thanatophilus,sinuatus,Pouzdřany,Moravia,Czech Republic,,6,6,1971,,,,,1,1,,,,,J. Čech,J. Čech,J. Růžička,1995,,,Sil1,,,
8025,Silphidae,Thanatophilus,sinuatus,Litoměřice env.,Bohemia,Czech Republic,,14,5,1971,,,,2,,2,,,,,P. Moravec,P. Moravec,J. Růžička,1995,,,Sil1,,,
9089,Silphidae,Thanatophilus,sinuatus,Benešov,Bohemia,Czech Republic,,7,7,1971,,,,2,,2,,,,,J. Čech,J. Čech,J. Růžička,1995,,,Sil1,,,
11221,Silphidae,Thanatophilus,sinuatus,Jihlava River Valley-Biskoupky,Moravia,Czech Republic,,12,5,1971,,,,3,1,4,,220,,,L. Pospíšilová,Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,8/71,,
8198,Silphidae,Thanatophilus,sinuatus,"Česká Lípa env., Hamr na Jezeře env., Hamerská louka",Bohemia,Czech Republic,,19,9,1971,,,,3,2,5,,,,,M. Honců,Vlastivědné muzeum v České Lípě,J. Růžička,1992,,,Sil1,,,
8196,Silphidae,Thanatophilus,sinuatus,"Česká Lípa env., Hamr na Jezeře",Bohemia,Czech Republic,,1,7,1972,,,,1,,1,,,,,M. Honců,Vlastivědné muzeum v České Lípě,J. Růžička,1992,,,Sil1,,,
24150,Silphidae,Thanatophilus,sinuatus,"Polabí Lowland, Týnec nad Labem",Bohemia,Czech Republic,5958,12,5,1972,,,,1,,1,"forest, carrion",,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
24593,Silphidae,Thanatophilus,sinuatus,"Český Brod env., Chrášťany",Bohemia,Czech Republic,,13,5,1972,,,,1,0,1,,,,,T. Růžička,T. Růžička Praha),T. Růžička,,J. Růžička,2016,PC,,,
24594,Silphidae,Thanatophilus,sinuatus,Brandýs nad Orlicí,Bohemia,Czech Republic,5963,2,7,1972,,,,0,1,1,,,,,T. Růžička,T. Růžička Praha),T. Růžička,,J. Růžička,2016,PC,,,
7077,Silphidae,Thanatophilus,sinuatus,"Česká Lípa env., Hamr na Jezeře",Bohemia,Czech Republic,,13,7,1973,,,,1,,1,,,,,M. Honců,Vlastivědné muzeum v České Lípě,J. Růžička,1992,,,Sil1,,,
8014,Silphidae,Thanatophilus,sinuatus,Malý Tisý Pond,Bohemia,Czech Republic,,6,5,1973,,,,,1,1,,,,,V. Karas,Karas,J. Růžička,1993,,,Sil1,,,
9110,Silphidae,Thanatophilus,sinuatus,Přestání,Bohemia,Czech Republic,,25,5,1973,,,,1,,1,,,,,J. Mašek,J. Mašek,J. Růžička,1995,,,Sil1,,,
11215,Silphidae,Thanatophilus,sinuatus,Olomouc-Svatý Kopeček,Moravia,Czech Republic,,19,7,1973,,,,,1,1,,,,,K. Majer,coll. K. Majer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
12301,Silphidae,Thanatophilus,sinuatus,Křivoklát,Bohemia,Czech Republic,,20,5,1973,,,,,1,1,,,,,P. Werner,Z. Jindra,J. Růžička,2005,,,Sil7,,,
15724,Silphidae,Thanatophilus,sinuatus,Hrušovany nad Jevišovkou,Moravia,Czech Republic,7164,15,4,1973,,,,1,,1,,,,,F. Kobylák,Jihomoravské muzeum ve Znojmě,J. Růžička,2007,,,Sil9,,,
11214,Silphidae,Thanatophilus,sinuatus,Olomouc-Svatý Kopeček,Moravia,Czech Republic,,14,5,1973,,,,2,,2,,,,,K. Majer,coll. K. Majer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
24147,Silphidae,Thanatophilus,sinuatus,"Polabí Lowland, Kladruby nad Labem",Bohemia,Czech Republic,5958,20,5,1973,,,,,2,2,carrion of Erinaceus,,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
11237,Silphidae,Thanatophilus,sinuatus,Srbská Kamenice,Bohemia,Czech Republic,,20,5,1973,,,,3,,3,,,,,A. Hamet,A. Hamet,J. Růžička,2003,,,Sil5,,,
11218,Silphidae,Thanatophilus,sinuatus,Olomouc-Svatý Kopeček,Moravia,Czech Republic,,5,5,1973,,,,3,1,4,,,,,K. Majer,coll. K. Majer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
8013,Silphidae,Thanatophilus,sinuatus,Olomouc-Svatý Kopeček,Moravia,Czech Republic,,25,5,1973,,,,2,4,6,,,,,K. Majer,Moravské zemské muzeum Brno,J. Růžička,1993,,,Sil1,,,
11212,Silphidae,Thanatophilus,sinuatus,Olomouc-Svatý Kopeček,Moravia,Czech Republic,,10,5,1973,,,,4,2,6,,,,,K. Majer,coll. K. Majer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
11213,Silphidae,Thanatophilus,sinuatus,Olomouc-Svatý Kopeček,Moravia,Czech Republic,,25,5,1973,,,,5,1,6,,,,,K. Majer,coll. K. Majer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
12302,Silphidae,Thanatophilus,sinuatus,Unhošť,Bohemia,Czech Republic,,6,4,1974,,,,1,,1,,,,,P. Werner,Z. Jindra,J. Růžička,2005,,,Sil7,,,
24145,Silphidae,Thanatophilus,sinuatus,"Polabí Lowland, Týnec nad Labem",Bohemia,Czech Republic,5958,8,8,1974,,,,1,,1,,,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
24146,Silphidae,Thanatophilus,sinuatus,Pavlovské vrchy Hills,Moravia,Czech Republic,7165,5,4,1974,,,,,1,1,,,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
24148,Silphidae,Thanatophilus,sinuatus,"Polabí Lowland, Žehuň",Bohemia,Czech Republic,5857,23,3,1974,,,,1,,1,,,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
24151,Silphidae,Thanatophilus,sinuatus,"Pavlovské vrchy Hills, Děvín Hill",Moravia,Czech Republic,7165,5,4,1974,,,,,1,1,,,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
24152,Silphidae,Thanatophilus,sinuatus,"Polabí Lowland, Chlumec nad Cidlinou",Bohemia,Czech Republic,5858,21,7,1974,,,,1,,1,,,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
12313,Silphidae,Thanatophilus,sinuatus,Uherský Brod,Moravia,Czech Republic,6971,22,4,1974,,,,1,1,2,,,,,K. Resl,K. Resl,J. Růžička,2005,,,Sil7,,,
24144,Silphidae,Thanatophilus,sinuatus,"Pavlovské vrchy Hills, Děvín Hill",Moravia,Czech Republic,7165,12,4,1974,,,,1,1,2,,,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
7081,Silphidae,Thanatophilus,sinuatus,Brná,Bohemia,Czech Republic,,1,8,1975,,,,1,,1,,,,,V. Vysoký,Vlastivědné muzeum v České Lípě,J. Růžička,1992,,,Sil1,,,
9098,Silphidae,Thanatophilus,sinuatus,Šumava Mts.-Mrtvý luh,Bohemia,Czech Republic,,21,5,1975,,,,1,,1,,,,,K. Deneš,J. Snížek,J. Růžička,1995,,,Sil1,dispar = Deneš det.,,
11222,Silphidae,Thanatophilus,sinuatus,"Sedlec env., ""Vlčí lesík""",Moravia,Czech Republic,,28,5,1975,,,,1,,1,,186,200,,L. Pospíšilová,Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,9/75,,
12281,Silphidae,Thanatophilus,sinuatus,"Plzeň env., Ledce",Bohemia,Czech Republic,,1,5,1975,,,,,1,1,,,,,Benedikt,V. Benedikt,J. Růžička,2003,,,Sil7,,,
11238,Silphidae,Thanatophilus,sinuatus,Holice v Čechách,Bohemia,Czech Republic,,2,5,1975,,,,1,1,2,,,,,A. Hamet,A. Hamet,M. Trýzna ,-,J. Růžička,2003,Sil5,,,
15723,Silphidae,Thanatophilus,sinuatus,Hrušovany nad Jevišovkou,Moravia,Czech Republic,7164,3,5,1976,,,,1,,1,,,,,F. Kobylák,Jihomoravské muzeum ve Znojmě,J. Růžička,2007,,,Sil9,,,
7082,Silphidae,Thanatophilus,sinuatus,"Mladá Boleslav env., Bradlec",Bohemia,Czech Republic,,29,4,1977,,,,1,,1,,,,,K. Mikvas,Vlastivědné muzeum v České Lípě,J. Růžička,1992,,,Sil1,,,
7084,Silphidae,Thanatophilus,sinuatus,Mladá Boleslav,Bohemia,Czech Republic,,3,8,1977,,,,,1,1,alluvium of Jizera,,,,K. Mikvas,Vlastivědné muzeum v České Lípě,J. Růžička,1992,,,Sil1,teneral,,
12282,Silphidae,Thanatophilus,sinuatus,Mutěnice,Moravia,Czech Republic,,10,5,1977,,,,1,,1,,,,,Benedikt,V. Benedikt,J. Růžička,2003,,,Sil7,,,
11175,Silphidae,Thanatophilus,sinuatus,Dolní Cetno,Bohemia,Czech Republic,5554,12,7,1979,,,,1,,1,,,,,Soustružník,V. Týr,J. Růžička,1999,,,Sil5,,,
11176,Silphidae,Thanatophilus,sinuatus,Praha-Troja,Bohemia,Czech Republic,5852,8,6,1979,,,,1,,1,,,,,Soustružník,V. Týr,J. Růžička,1999,,,Sil5,,,
24085,Silphidae,Thanatophilus,sinuatus,"Hrubý Jeseník Mts., Sobotín env.",Moravia,Czech Republic,5968,27,5,1979,,,,1,1,2,,700,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
12304,Silphidae,Thanatophilus,sinuatus,"Teplice env., Dubí",Bohemia,Czech Republic,,28,7,1980,,,,,1,1,,,,,P. Štourač,P. Štourač,J. Růžička,2005,,,Sil7,,,
12316,Silphidae,Thanatophilus,sinuatus,Uherský Brod,Moravia,Czech Republic,6971,25,7,1981,,,,,1,1,,,,,K. Resl,K. Resl,J. Růžička,2005,,,Sil7,,,
8205,Silphidae,Thanatophilus,sinuatus,Doupov-Březina,Bohemia,Czech Republic,,28,5,1982,,,,1,,1,,,,,M. Kuboň,M. Kuboň,J. Růžička,1993,,,Sil1,,,
